Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
4.875,30,0,0.125,0.125,10,8.57186067129901,40,125.71860671299011
5.0,30,0,0.125,0.125,10,8.464712412907774,40,124.64712412907774
5.125,30,0,0.125,0.125,10,8.358903507746426,40,123.58903507746426
5.25,30,0,0.125,0.125,10,8.254417213899597,40,122.54417213899596
5.375,30,0,0.125,0.125,10,8.151236998725851,40,121.51236998725851
5.5,30,0,0.125,0.125,10,8.049346536241778,40,120.49346536241778
5.625,30,0,0.125,0.125,10,7.948729704538756,40,119.48729704538756
5.75,30,0,0.125,0.125,10,7.849370583232021,40,118.49370583232022
5.875,30,0,0.125,0.125,10,7.751253450941621,40,117.51253450941621
6.0,30,0,0.125,0.125,10,7.654362782804851,40,116.54362782804851
6.125,30,0,0.125,0.125,10,7.558683248019792,40,115.58683248019791
6.25,30,0,0.125,0.125,10,7.464199707419544,40,114.64199707419544
6.375,30,0,0.125,0.125,10,7.3708972110768,40,113.708972110768
6.5,30,0,0.125,0.125,10,7.27876099593834,40,112.7876099593834
6.625,30,0,0.125,0.125,10,7.187776483489111,40,111.87776483489111
6.75,30,0,0.125,0.125,10,7.097929277445497,40,110.97929277445498
6.875,30,0,0.125,0.125,10,7.009205161477429,40,110.09205161477429
7.0,30,0,0.125,0.125,10,6.921590096958961,40,109.21590096958961
7.125,30,0,0.125,0.125,10,6.835070220746974,40,108.35070220746974
7.25,30,0,0.125,0.125,10,6.749631842987637,40,107.49631842987637
7.375,30,0,0.125,0.125,10,6.665261444950292,40,106.65261444950292
7.5,30,0,0.125,0.125,10,6.581945676888414,40,105.81945676888414
7.625,30,0,0.125,0.125,10,6.499671355927309,40,104.99671355927309
7.75,30,0,0.125,0.125,10,6.418425463978219,40,104.18425463978218
7.875,30,0,0.125,0.125,10,6.33819514567849,40,103.3819514567849
8.0,30,0,0.125,0.125,10,6.2589677063575095,40,102.5896770635751
8.125,30,0,0.125,0.125,10,6.180730610028041,40,101.80730610028041
8.25,30,0,0.125,0.125,10,6.103471477402691,40,101.03471477402691
8.375,30,0,0.125,0.125,10,6.027178083935158,40,100.27178083935158
8.5,30,0,0.125,0.125,10,5.951838357885968,40,99.51838357885968
8.625,30,0,0.125,0.125,10,5.877440378412393,40,98.77440378412393
8.75,30,0,0.125,0.125,10,5.803972373682238,40,98.03972373682238
